
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999884, Num Errors Improved = 0, DFR =  9.999989e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999885, Num Errors Improved = 0, DFR =  9.999989e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999886, Num Errors Improved = 0, DFR =  9.999989e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999887, Num Errors Improved = 0, DFR =  9.999989e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999888, Num Errors Improved = 0, DFR =  9.999989e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999889, Num Errors Improved = 0, DFR =  9.999989e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999890, Num Errors Improved = 0, DFR =  9.999989e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999891, Num Errors Improved = 0, DFR =  9.999989e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999892, Num Errors Improved = 0, DFR =  9.999989e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999893, Num Errors Improved = 0, DFR =  9.999990e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999894, Num Errors Improved = 0, DFR =  9.999990e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999895, Num Errors Improved = 0, DFR =  9.999990e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999896, Num Errors Improved = 0, DFR =  9.999990e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999897, Num Errors Improved = 0, DFR =  9.999990e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999898, Num Errors Improved = 0, DFR =  9.999990e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999899, Num Errors Improved = 0, DFR =  9.999990e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999900, Num Errors Improved = 0, DFR =  9.999990e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999901, Num Errors Improved = 0, DFR =  9.999990e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999902, Num Errors Improved = 0, DFR =  9.999990e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999903, Num Errors Improved = 0, DFR =  9.999990e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999904, Num Errors Improved = 0, DFR =  9.999990e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999905, Num Errors Improved = 0, DFR =  9.999990e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999906, Num Errors Improved = 0, DFR =  9.999990e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999907, Num Errors Improved = 0, DFR =  9.999990e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999908, Num Errors Improved = 0, DFR =  9.999990e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999909, Num Errors Improved = 0, DFR =  9.999991e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999910, Num Errors Improved = 0, DFR =  9.999991e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999911, Num Errors Improved = 0, DFR =  9.999991e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999912, Num Errors Improved = 0, DFR =  9.999991e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999913, Num Errors Improved = 0, DFR =  9.999991e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999914, Num Errors Improved = 0, DFR =  9.999991e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999915, Num Errors Improved = 0, DFR =  9.999991e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999916, Num Errors Improved = 0, DFR =  9.999992e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999917, Num Errors Improved = 0, DFR =  9.999992e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999918, Num Errors Improved = 0, DFR =  9.999992e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999919, Num Errors Improved = 0, DFR =  9.999992e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999920, Num Errors Improved = 0, DFR =  9.999992e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999921, Num Errors Improved = 0, DFR =  9.999992e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999922, Num Errors Improved = 0, DFR =  9.999992e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999923, Num Errors Improved = 0, DFR =  9.999992e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999924, Num Errors Improved = 0, DFR =  9.999992e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999925, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999926, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999927, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999928, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999929, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999930, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999931, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999932, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999933, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999934, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999935, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999936, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999937, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999938, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999939, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999940, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999941, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999942, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999943, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999944, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999945, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
