
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999775, Num Errors Improved = 0, DFR =  9.999977e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999776, Num Errors Improved = 0, DFR =  9.999977e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999777, Num Errors Improved = 0, DFR =  9.999977e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999778, Num Errors Improved = 0, DFR =  9.999977e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999779, Num Errors Improved = 0, DFR =  9.999977e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999780, Num Errors Improved = 0, DFR =  9.999977e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999781, Num Errors Improved = 0, DFR =  9.999979e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999782, Num Errors Improved = 0, DFR =  9.999979e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999783, Num Errors Improved = 0, DFR =  9.999979e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999784, Num Errors Improved = 0, DFR =  9.999979e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999785, Num Errors Improved = 0, DFR =  9.999979e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999786, Num Errors Improved = 0, DFR =  9.999979e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999787, Num Errors Improved = 0, DFR =  9.999979e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999788, Num Errors Improved = 0, DFR =  9.999979e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999789, Num Errors Improved = 0, DFR =  9.999979e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999790, Num Errors Improved = 0, DFR =  9.999979e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999791, Num Errors Improved = 0, DFR =  9.999979e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999792, Num Errors Improved = 0, DFR =  9.999979e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999793, Num Errors Improved = 0, DFR =  9.999979e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999794, Num Errors Improved = 0, DFR =  9.999979e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999795, Num Errors Improved = 0, DFR =  9.999979e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999796, Num Errors Improved = 0, DFR =  9.999979e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999797, Num Errors Improved = 0, DFR =  9.999980e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999798, Num Errors Improved = 0, DFR =  9.999980e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999799, Num Errors Improved = 0, DFR =  9.999980e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999800, Num Errors Improved = 0, DFR =  9.999980e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999801, Num Errors Improved = 0, DFR =  9.999980e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999802, Num Errors Improved = 0, DFR =  9.999980e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999803, Num Errors Improved = 0, DFR =  9.999980e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999804, Num Errors Improved = 0, DFR =  9.999981e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999805, Num Errors Improved = 0, DFR =  9.999981e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999806, Num Errors Improved = 0, DFR =  9.999981e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999807, Num Errors Improved = 0, DFR =  9.999981e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999808, Num Errors Improved = 0, DFR =  9.999981e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999809, Num Errors Improved = 0, DFR =  9.999981e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999810, Num Errors Improved = 0, DFR =  9.999981e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999811, Num Errors Improved = 0, DFR =  9.999981e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999812, Num Errors Improved = 0, DFR =  9.999981e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999813, Num Errors Improved = 0, DFR =  9.999982e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999814, Num Errors Improved = 0, DFR =  9.999982e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999815, Num Errors Improved = 0, DFR =  9.999982e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999816, Num Errors Improved = 0, DFR =  9.999982e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999817, Num Errors Improved = 0, DFR =  9.999982e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999818, Num Errors Improved = 0, DFR =  9.999982e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999819, Num Errors Improved = 0, DFR =  9.999982e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999820, Num Errors Improved = 0, DFR =  9.999982e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999821, Num Errors Improved = 0, DFR =  9.999982e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999822, Num Errors Improved = 0, DFR =  9.999982e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999823, Num Errors Improved = 0, DFR =  9.999982e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999824, Num Errors Improved = 0, DFR =  9.999982e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999825, Num Errors Improved = 0, DFR =  9.999982e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999826, Num Errors Improved = 0, DFR =  9.999982e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999827, Num Errors Improved = 0, DFR =  9.999982e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999828, Num Errors Improved = 0, DFR =  9.999982e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999829, Num Errors Improved = 0, DFR =  9.999983e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999830, Num Errors Improved = 0, DFR =  9.999983e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999831, Num Errors Improved = 0, DFR =  9.999983e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999832, Num Errors Improved = 0, DFR =  9.999983e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999833, Num Errors Improved = 0, DFR =  9.999983e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999834, Num Errors Improved = 0, DFR =  9.999983e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999835, Num Errors Improved = 0, DFR =  9.999983e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999836, Num Errors Improved = 0, DFR =  9.999984e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999837, Num Errors Improved = 0, DFR =  9.999984e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999838, Num Errors Improved = 0, DFR =  9.999984e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999839, Num Errors Improved = 0, DFR =  9.999984e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999840, Num Errors Improved = 0, DFR =  9.999984e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999841, Num Errors Improved = 0, DFR =  9.999984e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999842, Num Errors Improved = 0, DFR =  9.999984e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999843, Num Errors Improved = 0, DFR =  9.999984e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999844, Num Errors Improved = 0, DFR =  9.999984e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999845, Num Errors Improved = 0, DFR =  9.999985e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999846, Num Errors Improved = 0, DFR =  9.999985e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999847, Num Errors Improved = 0, DFR =  9.999985e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
